id,value,languageId,frequencyRank
4874,"expiry, action",2,
4875,"anstehen, steht an, stand an, hat angestanden",1,2486
4876,"to line up, to be in line",2,
4877,"die Bemerkung, -en",1,2487
4878,"remark, comment",2,
4879,Frankfurter,1,2488
4880,Frankfurt,2,
4881,identisch,1,2489
4882,identical,2,
4883,"rollen, rollt, rollte, hat gerollt",1,2490
4884,to roll,2,
4885,die Angehörige,1,2491
4886,"das Café, -s",1,2492
4887,"coffeehouse, coffee shop",2,
4888,dauerhaft,1,2493
4889,lasting,2,
4890,"garantieren, garantiert, garantierte, hat garantiert",1,2494
4891,to guarantee,2,
4892,"die Not, -̈e",1,2495
4893,"need, trouble",2,
4894,räumlich,1,2496
4895,"three-dimensional, spatial",2,
4896,jahrelang,1,2497
4897,"many years, for years",2,
4898,der Respekt,1,2498
4899,"gefährden, gefährdet, gefährdete, hat gefährdet",1,2499
4900,to endanger,2,
4901,"das Spektrum, -en",1,2500
4902,spectrum,2,
4903,vergeben,1,2501
4904,"to award, to allocate, to give away",2,
4905,"der Weber, -",1,2502
4906,weaver,2,
4907,effektiv,1,2503
4908,"der Eingang, -̈e",1,2504
4909,entrance,2,
4910,das Erbe,1,2505
4911,heritage,2,
4912,heir,2,
4913,islamisch,1,2506
4914,Islamic,2,
4915,"zustimmen, stimmt zu, stimmte zu, hat zugestimmt",1,2507
4916,"to agree, to consent",2,
4917,radikal,1,2508
4918,radical,2,
4919,"der Ausbau, -ten",1,2509
4920,"expansion, consolidation",2,
4921,"der Kanal, -̈e",1,2510
4922,"canal, channel",2,
4923,"registrieren, registriert, registrierte, hat registriert",1,2511
4924,to register,2,
4925,"verhandeln, verhandelt, verhandelte, hat verhandelt",1,2512
4926,to negotiate,2,
4927,"der Wandel, -",1,2513
4928,"der Ast, -Äe",1,2514
4929,branch,2,
4930,"ausüben, übt aus, übte aus, hat ausgeübt",1,2515
4931,"to practice, to exercise, to exert",2,
4932,jenseits,1,2516
4933,beyond,2,
4934,"unterliegen, unterliegt, unterlag, hat unterlegen",1,2517
4935,"to be defeated, to be subject",2,
4936,"der Wähler, -",1,2518
4937,voter,2,
4938,willkommen,1,2519
4939,welcome,2,
4940,"das Gedächtnis, -se",1,2520
4941,gelegentlich,1,2521
4942,occasional,2,
4943,"bedürfen, bedarf, bedurfte, hat bedurft",1,2522
4944,"das Gefängnis, -se",1,2523
4945,prison,2,
4946,"die Überraschung, -en",1,2524
4947,surprise,2,
4948,"der Wechsel, -",1,2525
4949,"die Wurzel, -n",1,2526
4950,root,2,
4951,formal,1,2527
4952,"formal, technical",2,
4953,sanft,1,2528
4954,"soft, gentle",2,
4955,"aushalten, hält aus, hielt aus, hat ausgehalten",1,2529
4956,"to bear, to endure",2,
4957,"bedrohen, bedroht, bedrohte, hat bedroht",1,2530
4958,keineswegs,1,2531
4959,"by no means, not at all",2,
4960,klug,1,2532
4961,clever,2,
4962,"der Arbeitnehmer, -",1,2533
4963,employee,2,
4964,"beugen, beugt, beugte, hat gebeugt",1,2534
4965,to bend,2,
4966,"einbringen, bringt ein, brachte ein, hat eingebracht",1,2535
4967,"to bring in, to contribute",2,
4968,"die Materie, -n",1,2536
4969,matter,2,
4970,das Personal,1,2537
4971,staff,2,
4972,scheinbar,1,2538
4973,"die Frequenz, -en",1,2539
4974,"lehren, lehrt, lehrte, hat gelehrt",1,2540
4975,to teach,2,
4976,selbstständig,1,2541
4977,"independent, self-employed",2,
4978,"überwinden, überwindet, überwand, hat überwunden",1,2542
4979,to overcome,2,
4980,unklar,1,2543
4981,unclear,2,
4982,verfügbar,1,2544
4983,available,2,
4984,wozu,1,2545
4985,"what for, to what",2,
4986,schlicht,1,2546
4987,"simple, plain",2,
4988,angemessen,1,2547
4989,appropriate,2,
4990,"der Arbeitsmarkt, -̈e",1,2548
4991,labor market,2,
4992,"der Pass, -̈e",1,2549
4993,"pass, passport",2,
4994,"der Bedarf, -e",1,2550
4995,"need, demand",2,
4996,ernsthaft,1,2551
4997,"werben, wirbt, warb, hat geworben",1,2552
4998,to advertise,2,
4999,"errichten, errichtet, errichtete, hat errichtet",1,2553
5000,"to build, to erect",2,
5001,"der Kredit, -e",1,2554
5002,"loan, credit",2,
5003,"das Wohnzimmer, -",1,2555
5004,living room,2,
5005,"die Kompetenz, -en",1,2556
5006,"competence, authority",2,
5007,"die Leitung, -en",1,2557
5008,"management, leadership",2,
5009,"strahlen, strahlt, strahlte, hat gestrahlt",1,2558
5010,to shine,2,
5011,"der Zucker, -",1,2559
5012,sugar,2,
5013,"der Austausch, -e",1,2560
5014,exchange,2,
5015,"gleichen, gleicht, glich, hat geglichen",1,2561
5016,"to be alike, to be just like",2,
5017,"die Station, -en",1,2562
5018,"station, stop, stopover",2,
5019,"der Kaiser, -",1,2563
5020,emperor,2,
5021,"sperren, sperrt, sperrte, hat gesperrt",1,2564
5022,"to cut off, to block, to close",2,
5023,"der Sportler, -",1,2565
5024,athlete,2,
5025,"die Differenz, -en",1,2566
5026,"der Fakt, -en",1,2567
5027,"die Herstellung, -en",1,2568
5028,"das Individuum, -en",1,2569
5029,"das Symbol, -e",1,2570
5030,symbol,2,
5031,"ausbreiten, breitet aus, breitete aus, hat ausgebreitet",1,2571
5032,"to spread, to spread out",2,
5033,"die Versorgung, -en",1,2572
5034,"supply, care",2,
5035,"der Kommentar, -e",1,2573
5036,"comment, opinion",2,
5037,kontinuierlich,1,2574
5038,"constant, continuous",2,
5039,"das Radio, -s",1,2575
5040,radio,2,
5041,Münchner,1,2576
5042,Munich,2,
5043,"der Musiker, -",1,2577
5044,musician,2,
5045,"wecken, weckt, weckte, hat geweckt",1,2578
5046,to wake sb up,2,
5047,"ansteigen, steigt an, stieg an, ist angestiegen",1,2579
5048,"to rise, to go up",2,
5049,die Rückkehr,1,2580
5050,return,2,
5051,"auszeichnen, zeichnet aus, zeichnete aus, hat ausgezeichnet",1,2581
5052,"to award a prize, to honor, to distinguish",2,
5053,Bar,1,2582
5054,bar,2,
5055,"die Betrachtung, -en",1,2583
5056,"contemplation, examination",2,
5057,"die Kommission, -en",1,2584
5058,"commission, committee",2,
5059,"der Star, -e",1,2585
5060,"star, starling",2,
5061,wütend,1,2586
5062,furious,2,
5063,christlich,1,2587
5064,Christian,2,
5065,"der Hamburger, -",1,2588
5066,Hamburg,2,
5067,hamburger,2,
5068,"die Leiche, -n",1,2589
5069,corpse,2,
5070,nochmals,1,2590
5071,"wehren (sich), wehrt, wehrte, hat gewehrt",1,2591
5072,to defend oneself,2,
5073,"der Abbau, -e",1,2592
5074,"reduction, decline, mining",2,
5075,"die Staatsanwaltschaft, -en",1,2593
5076,prosecution,2,
5077,"die Freizeit, -en",1,2594
5078,spare time,2,
5079,"das Geschenk, -e",1,2595
5080,"gift, present",2,
5081,hübsch,1,2596
5082,pretty,2,
5083,"der Moslem, -s",1,2597
5084,Muslim,2,
5085,spontan,1,2598
5086,spontaneous,2,
5087,dorthin,1,2599
5088,"das Frühstück, -e",1,2600
5089,breakfast,2,
5090,"klettern, klettert, kletterte, ist geklettert",1,2601
5091,to climb,2,
5092,"der Mittelpunkt, -e",1,2602
5093,"midpoint, center of attention",2,
5094,"bereiten, bereitet, bereitete, hat bereitet",1,2603
5095,"to make, to cause, to give",2,
5096,"die Entstehung, -en",1,2604
5097,origin,2,
5098,konservativ,1,2605
5099,conservative,2,
5100,"der Magen, -̈",1,2606
5101,stomach,2,
5102,psychisch,1,2607
5103,psychological,2,
5104,"das Salz, -e",1,2608
5105,salt,2,
5106,siebzig,1,2609
5107,seventy,2,
5108,"versichern, versichert, versicherte, hat versichert",1,2610
5109,"to insure, to assert",2,
5110,"der Brite, -n",1,2611
5111,Brit,2,
5112,erkennbar,1,2612
5113,"recognizable, apparent, visible",2,
5114,namens,1,2613
5115,"by the name of, called",2,
5116,"die Achse, -n",1,2614
5117,"axle, axis",2,
5118,"klingeln, klingelt, klingelte, hat geklingelt",1,2615
5119,to ring,2,
5120,"speichern, speichert, speicherte, hat gespeichert",1,2616
5121,"to store, to save",2,
5122,"der Tee, -s",1,2617
5123,tea,2,
5124,"der Zeuge, -n",1,2618
5125,witness,2,
5126,"der Aufwand, -̈e",1,2619
5127,"expense, effort",2,
5128,"die Kooperation, -en",1,2620
5129,"der Kritiker, -",1,2621
5130,critic,2,
5131,"das Tal, -̈er",1,2622
5132,valley,2,
5133,derartig,1,2623
5134,"such, like that",2,
5135,die Erste,1,2624
5136,vielfach,1,2625
5137,multiple,2,
5138,"empfangen, empfängt, empfing, hat empfangen",1,2626
5139,"die Ernährung, -en",1,2627
5140,"food, diet",2,
5141,"die Küste, -n",1,2628
5142,coast,2,
5143,"mitkommen, kommt mit, kam mit, ist mitgekommen",1,2629
5144,to come (with sb),2,
5145,"die Republik, -en",1,2630
5146,republic,2,
5147,"zucken, zuckt, zuckte, hat gezuckt",1,2631
5148,"to twitch, to shrug",2,
5149,"anschließen, schließt an, schloss an, hat angeschlossen",1,2632
5150,"to join, to chain to, to connect",2,
5151,"austauschen, tauscht aus, tauschte aus, hat ausgetauscht",1,2633
5152,"to exchange, to replace",2,
5153,"beschleunigen, beschleunigt, beschleunigte, hat beschleunigt",1,2634
5154,to accelerate,2,
5155,"die Norm, -en",1,2635
5156,norm,2,
5157,"anstellen, stellt an, stellte an, hat angestellt",1,2636
5158,"to hire, to employ, to line up, to get into mischief",2,
5159,"decken, deckt, deckte, hat gedeckt",1,2637
5160,"to cover, to set",2,
5161,grob,1,2638
5162,"coarse, rude, gross",2,
5163,"der Protest, -e",1,2639
5164,protest,2,
5165,"die Tour, -en",1,2640
5166,"tour, trip",2,
5167,"der Überblick, -e",1,2641
5168,"view, overview",2,
5169,"der Geschäftsführer, -",1,2642
5170,"der Griff, -e",1,2643
5171,"handle, grip, grasp",2,
5172,"küssen, küsst, küsste, hat geküsst",1,2644
5173,to kiss,2,
5174,"der Liter, -",1,2645
5175,liter,2,
5176,"das Subjekt, -e",1,2646
5177,subject,2,
5178,"der Außenminister, -",1,2647
5179,foreign minister,2,
5180,"die Faser, -n",1,2648
5181,fiber,2,
5182,"der Schatz, -̈e",1,2649
5183,"treasure, sweetheart",2,
5184,sekundär,1,2650
5185,secondary,2,
5186,"die Zentralbank, -en",1,2651
5187,central bank,2,
5188,die Alte,1,2652
5189,die Angestellte,1,2653
5190,dankbar,1,2654
5191,grateful,2,
5192,"faszinieren, fasziniert, faszinierte, hat fasziniert",1,2655
5193,to fascinate,2,
5194,"der Flur, -e",1,2656
5195,"hall, corridor",2,
5196,"das Hemd, -en",1,2657
5197,shirt,2,
5198,inhaltlich,1,2658
5199,in terms of content,2,
5200,"die Begründung, -en",1,2659
5201,"explanation, justification",2,
5202,dreimal,1,2660
5203,three times,2,
5204,momentan,1,2661
5205,"at the moment, momentarily",2,
5206,"zögern, zögert, zögerte, hat gezögert",1,2662
5207,to hesitate,2,
5208,derart,1,2663
5209,kreativ,1,2664
5210,creative,2,
5211,"einziehen, zieht ein, zog ein, hat eingezogen",1,2665
5212,to move in,2,
5213,"das Ausmaß, -e",1,2666
5214,"extent, size",2,
5215,"der Feind, -e",1,2667
5216,enemy,2,
5217,"verbrennen, verbrennt, verbrannte, ist verbrannt",1,2668
5218,"der Vorstand, -̈e",1,2669
5219,"board, chairperson",2,
5220,der Atem,1,2670
5221,breath,2,
5222,"die Distanz, -en",1,2671
5223,"der Händler, -",1,2672
5224,"trader, dealer, retailer",2,
5225,"hassen, hasst, hasste, hat gehasst",1,2673
5226,to hate,2,
5227,"das Muster, -",1,2674
5228,"pattern, model",2,
5229,ausführlich,1,2675
5230,detailed,2,
5231,"bedenken, bedenkt, bedachte, hat bedacht",1,2676
5232,der Terror,1,2677
5233,terror,2,
5234,"die Verfassung, -en",1,2678
5235,constitution,2,
5236,blind,1,2679
5237,blind,2,
5238,"einschlafen, schläft ein, schlief ein, ist eingeschlafen",1,2680
5239,to fall asleep,2,
5240,"die Flüchtlingskrise, -n",1,2681
5241,refugee crisis,2,
5242,der Ärger,1,2682
5243,"annoyance, trouble",2,
5244,allmählich,1,2683
5245,gradual,2,
5246,"der Führer, -",1,2684
5247,"leader, guide",2,
5248,"das Vitamin, -e",1,2685
5249,vitamin,2,
5250,"der Abschied, -e",1,2686
5251,"departure, parting",2,
5252,"der Hafen, -̈",1,2687
5253,harbor,2,
5254,"die Niere, -n",1,2688
5255,kidney,2,
5256,"abbilden, bildet ab, bildete ab, hat abgebildet",1,2689
5257,"to copy, to portray",2,
5258,"der Rezeptor, -en",1,2690
5259,receptor,2,
5260,"etablieren, etabliert, etablierte, hat etabliert",1,2691
5261,to establish,2,
5262,"das Messer, -",1,2692
5263,knife,2,
5264,teils,1,2693
5265,Brasilien,1,2694
5266,Brazil,2,
5267,"ergreifen, ergreift, ergriff, hat ergriffen",1,2695
5268,"to take, to seize, to grip, to capture",2,
5269,"das Grundgesetz, -e",1,2696
5270,basic law,2,
5271,"die Herkunft, -̈e",1,2697
5272,"hinausgehen, geht hinaus, ging hinaus, ist hinausgegangen",1,2698
5273,"to go out, to exceed",2,
5274,"die Katastrophe, -n",1,2699
5275,catastrophe,2,
5276,"lehnen, lehnt, lehnte, hat gelehnt",1,2700
5277,to lean,2,
5278,"beraten, berät, beriet, hat beraten",1,2701
5279,"to advise, to discuss",2,
5280,bürgerlich,1,2702
5281,"civil, civic",2,
5282,"das Erlebnis, -se",1,2703
5283,nachher,1,2704
5284,afterwards,2,
5285,"übergehen, geht über, ging über, ist übergegangen",1,2705
5286,to pass into,2,
5287,die Wut,1,2706
5288,"rage, fury",2,
5289,"aufrufen, ruft auf, rief auf, hat aufgerufen",1,2707
5290,to call out/up/upon,2,
5291,quer,1,2708
5292,"diagonally, sideways, across",2,
5293,"der Kapitän, -e",1,2709
5294,captain,2,
5295,"zusammenhängen, hängt zusammen, hing zusammen, hat zusammengehangen",1,2710
5296,to be connected,2,
5297,"der Ausländer, -",1,2711
5298,foreigner,2,
5299,die Beschäftigte,1,2712
5300,"die Bundesliga, -en",1,2713
5301,(sport) national division,2,
5302,"nähern (sich), nähert, näherte, hat genähert",1,2714
5303,to approach,2,
5304,übel,1,2715
5305,"foul, bad",2,
5306,"das Ufer, -",1,2716
5307,"shore, bank",2,
5308,"die Dichte, -n",1,2717
5309,density,2,
5310,ehe,1,2718
5311,"die Strahlung, -en",1,2719
5312,radiation,2,
5313,"das Virus, -en",1,2720
5314,virus,2,
5315,"der Kontinent, -e",1,2721
5316,continent,2,
5317,"das Milligramm, -",1,2722
5318,milligram,2,
5319,schwedisch,1,2723
5320,Swedish,2,
5321,sexuell,1,2724
5322,sexual,2,
5323,hierher,1,2725
5324,ironisch,1,2726
5325,ironic,2,
5326,"der Sprung, -̈e",1,2727
5327,jump,2,
5328,vorerst,1,2728
5329,for the present,2,
5330,experimentell,1,2729
5331,experimental,2,
5332,kühl,1,2730
5333,cool,2,
5334,"der Maler, -",1,2731
5335,painter,2,
5336,"die Opposition, -en",1,2732
5337,opposition,2,
5338,"der Saal, -̈le",1,2733
5339,syrisch,1,2734
5340,Syrian,2,
5341,"der Grundsatz, -̈e",1,2735
5342,"loben, lobt, lobte, hat gelobt",1,2736
5343,to praise,2,
5344,"die Zustimmung, -en",1,2737
5345,"approval, consent",2,
5346,"die Absicht, -en",1,2738
5347,intention,2,
5348,"die Adresse, -n",1,2739
5349,address,2,
5350,"der Akzent, -e",1,2740
5351,accent,2,
5352,"verlängern, verlängert, verlängerte, hat verlängert",1,2741
5353,"to lengthen, to extend",2,
5354,"die Nahrung, -en",1,2742
5355,"nourishment, food",2,
5356,niederländisch,1,2743
5357,Dutch,2,
5358,"der Planet, -en",1,2744
5359,planet,2,
5360,"der Stress, -e",1,2745
5361,stress,2,
5362,vermeintlich,1,2746
5363,supposed,2,
5364,"zusammenarbeiten, arbeitet zusammen, arbeitete zusammen, hat zusammengearbeitet",1,2747
5365,to cooperate,2,
5366,"der Parameter, -",1,2748
5367,parameter,2,
5368,steil,1,2749
5369,steep,2,
5370,"der Europäer, -",1,2750
5371,heimisch,1,2751
5372,"indigenous, native, at home",2,
5373,interkulturell,1,2752
5374,intercultural,2,
5375,die Stille,1,2753
5376,"peace, silence",2,
5377,"der Bildschirm, -e",1,2754
5378,"screen, monitor",2,
5379,"erwischen, erwischt, erwischte, hat erwischt",1,2755
5380,"das Proton, -en",1,2756
5381,proton,2,
5382,Swiss person,2,
5383,unheimlich,1,2758
5384,"eerie, scary, incredible, creepy",2,
5385,magnetisch,1,2759
5386,magnetic,2,
5387,"versehen, versieht, versah, hat versehen",1,2760
5388,"to perform, to provide",2,
5389,"die Beteiligung, -en",1,2761
5390,participation,2,
5391,"das Frühjahr, -e",1,2762
5392,spring,2,
5393,"der Hut, -̈e",1,2763
5394,hat,2,
5395,"guard, alert",2,
5396,"das Medium, -en",1,2764
5397,medium,2,
5398,"die Verpflichtung, -en",1,2765
5399,"commitment, obligation",2,
5400,"die Abteilung, -en",1,2766
5401,department,2,
5402,alternativ,1,2767
5403,alternatively,2,
5404,"der Mittag, -e",1,2768
5405,"noon, midday",2,
5406,"befassen (sich), befasst, befasste, hat befasst",1,2769
5407,to deal,2,
5408,"das Finale, -",1,2770
5409,"final, finals, finale",2,
5410,"gewähren, gewährt, gewährte, hat gewährt",1,2771
5411,"to grant, to give",2,
5412,"aussagen, sagt aus, sagte aus, hat ausgesagt",1,2772
5413,to testify,2,
5414,"die Tendenz, -en",1,2773
5415,"tendency, trend, inclination",2,
5416,"der Terrorist, -en",1,2774
5417,terrorist,2,
5418,jemals,1,2775
5419,ever,2,
5420,"der Opa, -s",1,2776
5421,grandpa,2,
5422,arbeitslos,1,2777
5423,unemployed,2,
5424,"die Auswertung, -en",1,2778
5425,"evaluation, analysis",2,
5426,"das Gras, -̈er",1,2779
5427,grass,2,
5428,logisch,1,2780
5429,logical,2,
5430,"der Nachfolger, -",1,2781
5431,successor,2,
5432,"verzweifeln, verzweifelt, verzweifelte, ist verzweifelt",1,2782
5433,to despair,2,
5434,"bewältigen, bewältigt, bewältigte, hat bewältigt",1,2783
5435,"to cope with, to overcome",2,
5436,"die Emotion, -en",1,2784
5437,emotion,2,
5438,die Armut,1,2785
5439,poverty,2,
5440,Australien,1,2786
5441,Australia,2,
5442,"klagen, klagt, klagte, hat geklagt",1,2787
5443,to complain,2,
5444,schade,1,2788
5445,(it’s a) pity,2,
5446,"die Scheibe, -n",1,2789
5447,"disk, slice, (glass) pane",2,
5448,"verbleiben, verbleibt, verblieb, ist verblieben",1,2790
5449,"to remain, to stay, to agree",2,
5450,"der Widerspruch, -̈e",1,2791
5451,"contradiction, dissent",2,
5452,"dastehen, steht da, stand da, hat dagestanden",1,2792
5453,"to stand there, to be in a position",2,
5454,nervös,1,2793
5455,nervous,2,
5456,"regieren, regiert, regierte, hat regiert",1,2794
5457,"to rule, to govern",2,
5458,"der Regisseur, -e",1,2795
5459,süß,1,2796
5460,sweet,2,
5461,"die Villa, -en",1,2797
5462,villa,2,
5463,weh,1,2798
5464,"sore, hurt",2,
5465,"entlassen, entlässt, entließ, hat entlassen",1,2799
5466,"to dismiss, to fire",2,
5467,"die Presse, -n",1,2800
5468,press,2,
5469,womit,1,2801
5470,with what,2,
5471,"abstimmen, stimmt ab, stimmte ab, hat abgestimmt",1,2802
5472,"to vote, to coordinate",2,
5473,fair,1,2803
5474,fair,2,
5475,hervorragend,1,2804
5476,outstanding,2,
5477,umfangreich,1,2805
5478,EZB (Europäische Zentralbank),1,2806
5479,European Central Bank,2,
5480,"die Infrastruktur, -en",1,2807
5481,infrastructure,2,
5482,"der Konkurrent, -en",1,2808
5483,competitor,2,
5484,"die Party, -s",1,2809
5485,party,2,
5486,"die Wellenlänge, -n",1,2810
5487,wavelength,2,
5488,"der Anhänger, -",1,2811
5489,"pendant, supporter, trailer",2,
5490,betrieblich,1,2812
5491,operational,2,
5492,"die Finanzierung, -en",1,2813
5493,financing,2,
5494,"die Inflation, -en",1,2814
5495,inflation,2,
5496,"murmeln, murmelt, murmelte, hat gemurmelt",1,2815
5497,"to mumble, to mutter",2,
5498,"die Plattform, -en",1,2816
5499,platform,2,
5500,"dominieren, dominiert, dominierte, hat dominiert",1,2817
5501,to dominate,2,
5502,"einräumen, räumt ein, räumte ein, hat eingeräumt",1,2818
5503,"to put away, to admit, to concede",2,
5504,"herausstellen (sich), stellt heraus, stellte heraus, hat herausgestellt",1,2819
5505,"to emphasize, to turn out",2,
5506,"die Kleidung, -en",1,2820
5507,clothes,2,
5508,"vereinen, vereint, vereinte, hat vereint",1,2821
5509,"der Bundesrat, -̈e",1,2822
5510,Bundesrat,2,
5511,"abbrechen, bricht ab, brach ab, hat abgebrochen",1,2823
5512,"to break off, to stop",2,
5513,"die Aufklärung, -en",1,2824
5514,"enlightenment, solution",2,
5515,"auskommen, kommt aus, kam aus, ist ausgekommen",1,2825
5516,"to get by, to get on, to manage",2,
5517,denkbar,1,2826
5518,conceivable,2,
5519,"der Fernseher, -",1,2827
5520,"der Italiener, -",1,2828
5521,"mangeln, mangelt, mangelte, hat gemangelt",1,2829
5522,"to lack, to be missing",2,
5523,"die Schönheit, -en",1,2830
5524,beauty,2,
5525,"verarbeiten, verarbeitet, verarbeitete, hat verarbeitet",1,2831
5526,"to use, to process, to assimilate",2,
5527,"verkünden, verkündet, verkündete, hat verkündet",1,2832
5528,Dänemark,1,2833
5529,Denmark,2,
5530,dazwischen,1,2834
5531,"in between, between (them), among (them)",2,
5532,"einsteigen, steigt ein, stieg ein, ist eingestiegen",1,2835
5533,"to board, to get in",2,
5534,Tibet,1,2836
5535,Tibet,2,
5536,"die Webseite, -n",1,2837
5537,website,2,
5538,"widersprechen, widerspricht, widersprach, hat widersprochen",1,2838
5539,to contradict,2,
5540,"der Besitzer, -",1,2839
5541,owner,2,
5542,japanisch,1,2840
5543,Japanese,2,
5544,"ärgern, ärgert, ärgerte, hat geärgert",1,2841
5545,to annoy,2,
5546,"die Persönlichkeit, -en",1,2842
5547,"personality, celebrity",2,
5548,"die Truppe, -n",1,2843
5549,"troops, unit",2,
5550,ausdrücklich,1,2844
5551,explicit,2,
5552,"die Einschätzung, -en",1,2845
5553,"opinion, assessment, evaluation",2,
5554,funktionell,1,2846
5555,functional,2,
5556,"das Gewebe, -",1,2847
5557,"fabric, tissue",2,
5558,"das Resultat, -e",1,2848
5559,die Verwandte,1,2849
5560,"die Anordnung, -en",1,2850
5561,order,2,
5562,"aufwachen, wacht auf, wachte auf, ist aufgewacht",1,2851
5563,to wake up,2,
5564,"die Kasse, -n",1,2852
5565,"cash register, checkout",2,
5566,Schulden,1,2853
5567,debt,2,
5568,der Hinblick,1,2854
5569,view,2,
5570,"die Last, -en",1,2855
5571,"load, burden",2,
5572,das Zuhause,1,2856
5573,home,2,
5574,at home,2,
5575,einheitlich,1,2857
5576,"uniform, standardized",2,
5577,fünfzehn,1,2858
5578,fifteen,2,
5579,"überschreiten, überschreitet, überschritt, hat überschritten",1,2859
5580,to exceed,2,
5581,"die Version, -en",1,2860
5582,version,2,
5583,"die Zunge, -n",1,2861
5584,tongue,2,
5585,dänisch,1,2862
5586,Danish,2,
5587,"die Einladung, -en",1,2863
5588,invitation,2,
5589,die Vielzahl,1,2864
5590,multitude,2,
5591,"der Arbeitgeber, -",1,2865
5592,employer,2,
5593,"die Höhle, -n",1,2866
5594,cave,2,
5595,"die Lücke, -n",1,2867
5596,gap,2,
5597,mehrmals,1,2868
5598,repeatedly,2,
5599,subjektiv,1,2869
5600,subjective,2,
5601,unangenehm,1,2870
5602,unpleasant,2,
5603,"das Wirtschaftsforum, -s",1,2871
5604,economic forum,2,
5605,"die Angelegenheit, -en",1,2872
5606,"matter, affair",2,
5607,charakteristisch,1,2873
5608,characteristic,2,
5609,"die Einnahme, -n",1,2874
5610,"income, receipts, revenue",2,
5611,"der Islam, -e",1,2875
5612,Islam,2,
5613,"basieren, basiert, basierte, hat basiert",1,2876
5614,to be based on,2,
5615,"einkaufen, kauft ein, kaufte ein, hat eingekauft",1,2877
5616,to shop,2,
5617,"eintragen, trägt ein, trug ein, hat eingetragen",1,2878
5618,"to enter, to record, to register",2,
5619,"der Vortrag, -̈e",1,2879
5620,"das Zelt, -e",1,2880
5621,tent,2,
5622,"zusammensetzen, setzt zusammen, setzte zusammen, hat zusammengesetzt",1,2881
5623,to put together,2,
5624,"bedanken (sich), bedankt, bedankte, hat bedankt",1,2882
5625,"die Brille, -n",1,2883
5626,glasses,2,
5627,"die Sammlung, -en",1,2884
5628,collection,2,
5629,"verschließen, verschließt, verschloss, hat verschlossen",1,2885
5630,"to close, to lock",2,
5631,"der Entwurf, -̈e",1,2886
5632,"sketch, design, draft",2,
5633,seither,1,2887
5634,"ansagen, sagt an, sagte an, hat angesagt",1,2888
5635,"hemmen, hemmt, hemmte, hat gehemmt",1,2889
5636,"to inhibit, to hinder",2,
5637,"die Intelligenz, -en",1,2890
5638,intelligence,2,
5639,senkrecht,1,2891
5640,vertical,2,
5641,"dringen, dringt, drang, ist gedrungen",1,2892
5642,"to press, to insist",2,
5643,"der Migrant, -en",1,2893
5644,migrant,2,
5645,"probieren, probiert, probierte, hat probiert",1,2894
5646,to try,2,
5647,"das Turnier, -e",1,2895
5648,tournament,2,
5649,"verschaffen, verschafft, verschaffte, hat verschafft",1,2896
5650,to provide,2,
5651,"die Volkswirtschaft, -en",1,2897
5652,national economy,2,
5653,"bearbeiten, bearbeitet, bearbeitete, hat bearbeitet",1,2898
5654,"to edit, to work on",2,
5655,flexibel,1,2899
5656,flexible,2,
5657,hierfür,1,2900
5658,"for this, for it",2,
5659,mobil,1,2901
5660,mobile,2,
5661,"der Übersetzer, -",1,2902
5662,translator,2,
5663,wodurch,1,2903
5664,"how, which",2,
5665,"zusagen, sagt zu, sagte zu, hat zugesagt",1,2904
5666,"to promise, to accept",2,
5667,"der Buchstabe, -n",1,2905
5668,"verdanken, verdankt, verdankte, hat verdankt",1,2906
5669,"to owe, to have sb to thank for sth",2,
5670,vierzig,1,2907
5671,forty,2,
5672,"der Vordergrund, -̈e",1,2908
5673,foreground,2,
5674,"der Reiz, -e",1,2909
5675,"stimulus, appeal",2,
5676,verständlich,1,2910
5677,comprehensible,2,
5678,"der Wahlkampf, -̈e",1,2911
5679,election campaign,2,
5680,flüssig,1,2912
5681,"der Sturm, -̈e",1,2913
5682,storm,2,
5683,"der Akteur, -e",1,2914
5684,"player, actor",2,
5685,"entnehmen, entnimmt, entnahm, hat entnommen",1,2915
5686,"to take from, to remove, to withdraw, to infer",2,
5687,"räumen, räumt, räumte, hat geräumt",1,2916
5688,to clear,2,
5689,konsequent,1,2917
5690,consistent,2,
5691,"bekämpfen, bekämpft, bekämpfte, hat bekämpft",1,2918
5692,"to fight, to combat",2,
5693,"der Gehalt, -e",1,2919
5694,salary,2,
5695,"meaning, contents",2,
5696,indes,1,2920
5697,meanwhile,2,
5698,"das Motto, -s",1,2921
5699,motto,2,
5700,"die Philosophie, -n",1,2922
5701,philosophy,2,
5702,"der Sender, -",1,2923
5703,broadcasting station,2,
5704,"das Talent, -e",1,2924
5705,talent,2,
5706,extra,1,2925
5707,"separately, extra",2,
5708,"der Fleck, -e",1,2926
5709,stain,2,
5710,"fressen, frisst, fraß, hat gefressen",1,2927
5711,"die Klage, -n",1,2928
5712,"complaint, lawsuit",2,
5713,anfangs,1,2929
5714,"initially, at first",2,
5715,"die Beratung, -en",1,2930
5716,"advice, discussion, consultation",2,
5717,"die Gestaltung, -en",1,2931
5718,"design, organization",2,
5719,katholisch,1,2932
5720,Catholic,2,
5721,merkwürdig,1,2933
5722,strange,2,
5723,"bedecken, bedeckt, bedeckte, hat bedeckt",1,2934
5724,to cover,2,
5725,"die Kuh, -̈e",1,2935
5726,cow,2,
